Latitude modul,Longitude modul,Sat count,Speed,Alt,Dates
-5.372160, 105.250107, 9, 0.11, 127.40, 14/9/2021
-5.372159, 105.250106, 9, 0.31, 127.40, 14/9/2021
-5.372159, 105.250106, 9, 0.31, 127.40, 14/9/2021
-5.372159, 105.250106, 9, 0.31, 127.40, 14/9/2021
-5.372158, 105.250106, 9, 0.72, 127.40, 14/9/2021
-5.372158, 105.250106, 9, 0.72, 127.40, 14/9/2021
-5.372158, 105.250106, 9, 0.72, 127.70, 14/9/2021
-5.372158, 105.250106, 9, 0.72, 127.70, 14/9/2021
-5.372158, 105.250106, 9, 0.72, 127.70, 14/9/2021
-5.372157, 105.250106, 9, 0.31, 127.70, 14/9/2021
-5.372157, 105.250106, 9, 0.31, 127.70, 14/9/2021
-5.372157, 105.250106, 9, 0.31, 127.80, 14/9/2021
-5.372157, 105.250106, 9, 0.31, 127.80, 14/9/2021
-5.372156, 105.250106, 9, 0.07, 127.80, 14/9/2021
-5.372156, 105.250106, 9, 0.07, 127.80, 14/9/2021
-5.372156, 105.250106, 9, 0.07, 127.80, 14/9/2021
-5.372156, 105.250106, 9, 0.07, 127.80, 14/9/2021
-5.372156, 105.250107, 9, 0.24, 127.80, 14/9/2021
-5.372156, 105.250107, 9, 0.24, 127.80, 14/9/2021
-5.372156, 105.250107, 9, 0.24, 127.40, 14/9/2021
-5.372157, 105.250106, 9, 0.35, 127.40, 14/9/2021
-5.372157, 105.250106, 9, 0.35, 127.40, 14/9/2021
-5.372157, 105.250106, 9, 0.35, 127.60, 14/9/2021
-5.372157, 105.250106, 9, 0.35, 127.60, 14/9/2021
-5.372157, 105.250106, 9, 0.35, 127.60, 14/9/2021
-5.372155, 105.250107, 9, 1.20, 127.60, 14/9/2021
-5.372155, 105.250107, 9, 1.20, 127.60, 14/9/2021
-5.372155, 105.250107, 9, 1.20, 127.60, 14/9/2021
-5.372152, 105.250106, 9, 0.46, 127.60, 14/9/2021
-5.372152, 105.250106, 9, 0.46, 127.60, 14/9/2021
-5.372152, 105.250106, 9, 0.46, 127.40, 14/9/2021
-5.372152, 105.250106, 9, 0.46, 127.40, 14/9/2021
-5.372152, 105.250106, 9, 0.46, 127.40, 14/9/2021
-5.372149, 105.250106, 9, 0.46, 127.40, 14/9/2021
-5.372149, 105.250106, 9, 0.46, 127.40, 14/9/2021
-5.372149, 105.250106, 9, 0.46, 127.40, 14/9/2021
-5.372149, 105.250106, 9, 0.46, 127.40, 14/9/2021
-5.372148, 105.250106, 9, 0.19, 127.40, 14/9/2021
-5.372148, 105.250106, 9, 0.19, 127.40, 14/9/2021
-5.372148, 105.250106, 9, 0.19, 127.40, 14/9/2021
-5.372147, 105.250106, 9, 0.67, 127.40, 14/9/2021
-5.372147, 105.250106, 9, 0.67, 127.40, 14/9/2021
-5.372147, 105.250106, 9, 0.67, 127.40, 14/9/2021
-5.372147, 105.250106, 9, 0.67, 127.40, 14/9/2021
-5.372147, 105.250106, 9, 0.67, 127.40, 14/9/2021
-5.372146, 105.250106, 9, 0.67, 127.40, 14/9/2021
-5.372146, 105.250106, 9, 0.67, 127.40, 14/9/2021
-5.372146, 105.250106, 9, 0.67, 127.40, 14/9/2021
-5.372146, 105.250106, 9, 0.67, 127.40, 14/9/2021
-5.372146, 105.250106, 9, 0.67, 127.40, 14/9/2021
-5.372144, 105.250106, 9, 0.07, 127.40, 14/9/2021
-5.372144, 105.250106, 9, 0.07, 127.40, 14/9/2021
-5.372144, 105.250106, 9, 0.07, 127.40, 14/9/2021
-5.372144, 105.250106, 9, 0.07, 127.40, 14/9/2021
-5.372143, 105.250105, 9, 0.13, 127.40, 14/9/2021
-5.372143, 105.250105, 9, 0.13, 127.40, 14/9/2021
-5.372143, 105.250105, 9, 0.13, 127.40, 14/9/2021
-5.372141, 105.250105, 9, 0.96, 127.40, 14/9/2021
-5.372141, 105.250105, 9, 0.96, 127.40, 14/9/2021
-5.372141, 105.250105, 9, 0.96, 127.40, 14/9/2021
-5.372141, 105.250105, 9, 0.96, 127.40, 14/9/2021
-5.372140, 105.250106, 9, 1.02, 127.40, 14/9/2021
-5.372140, 105.250106, 9, 1.02, 127.40, 14/9/2021
-5.372140, 105.250106, 9, 1.02, 127.80, 14/9/2021
-5.372140, 105.250106, 9, 1.02, 127.80, 14/9/2021
-5.372138, 105.250106, 9, 0.35, 127.80, 14/9/2021
-5.372138, 105.250106, 9, 0.35, 127.80, 14/9/2021
-5.372138, 105.250106, 9, 0.35, 127.70, 14/9/2021
-5.372138, 105.250106, 9, 0.35, 127.70, 14/9/2021
-5.372137, 105.250106, 9, 0.24, 127.70, 14/9/2021
-5.372137, 105.250106, 9, 0.24, 127.70, 14/9/2021
-5.372137, 105.250106, 9, 0.24, 127.70, 14/9/2021
-5.372137, 105.250106, 9, 0.24, 127.70, 14/9/2021
-5.372135, 105.250106, 9, 0.65, 127.70, 14/9/2021
-5.372135, 105.250106, 9, 0.65, 127.70, 14/9/2021
-5.372135, 105.250106, 9, 0.65, 127.60, 14/9/2021
-5.372135, 105.250106, 9, 0.65, 127.60, 14/9/2021
-5.372137, 105.250106, 9, 0.61, 127.60, 14/9/2021
-5.372137, 105.250106, 9, 0.61, 127.60, 14/9/2021
-5.372137, 105.250106, 9, 0.61, 127.60, 14/9/2021
-5.372137, 105.250106, 9, 0.61, 127.60, 14/9/2021
-5.372136, 105.250106, 9, 0.52, 127.60, 14/9/2021
-5.372136, 105.250106, 9, 0.52, 127.60, 14/9/2021
